Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
69,7,165,39,58,11,Normal
58,6,107,28,51,7,Normal
76,7,206,30,64,12,Normal
84,5,236,32,70,14,Normal
68,7,184,61,59,9,Normal
71,5,118,15,64,7,Normal
95,6,231,33,84,11,Normal
98,6,221,34,85,13,Normal
118,7,338,20,100,18,Normal
87,6,212,23,76,11,Normal
71,4,160,24,62,9,Normal
74,7,120,38,60,14,Normal
123,6,333,43,107,16,Normal
97,7,203,22,84,13,Normal
133,8,247,62,116,17,Normal
149,7,218,51,139,10,Normal
67,6,133,37,56,11,Normal
166,6,254,34,149,17,Normal
75,7,124,54,64,11,Normal
74,8,151,34,68,6,Normal
86,7,302,71,75,10,Normal
101,8,490,54,86,15,Normal
61,5,216,26,51,10,Normal
95,5,355,39,80,15,Normal
71,6,171,28,61,10,Normal
103,7,261,34,82,21,Normal
79,6,145,27,64,15,Normal
96,5,275,25,76,20,Normal
54,6,112,12,38,16,Normal
77,5,134,27,57,20,Normal
107,8,178,33,95,12,Normal
97,5,161,50,89,8,Normal
56,6,108,35,44,12,Normal
63,6,116,27,49,14,Normal
57,6,97,19,43,14,Normal
139,5,369,33,126,13,Normal
71,5,123,46,65,6,Normal
221,8,765,280,200,21,Normal
137,6,582,114,114,23,Normal
113,7,262,35,93,20,Normal
75,6,152,70,64,11,Normal
61,7,121,62,57,4,Normal
155,7,476,22,136,19,Normal
113,6,780,37,93,20,Normal
105,8,346,137,82,23,Normal
87,6,631,39,75,12,Normal
125,7,288,128,104,21,Normal
55,5,160,108,51,4,Normal
60,3,126,18,54,6,Normal
62,5,137,49,54,8,Normal
65,6,120,50,53,12,Normal
91,8,219,48,75,16,Normal
96,3,259,26,93,3,Normal
91,6,231,53,86,5,Normal
73,7,221,38,68,5,Normal
70,5,178,58,60,10,Normal
78,6,182,45,63,15,Normal
81,7,177,19,72,9,Normal
82,6,176,31,69,13,Normal
66,5,141,22,60,6,Normal
91,5,303,13,74,17,Normal
99,7,502,43,73,26,Normal
70,6,297,109,53,17,Normal
76,6,159,83,67,9,Normal
83,7,174,31,62,21,Normal
93,9,252,43,72,21,Normal
91,8,238,63,74,17,Normal
88,3,346,28,69,19,Normal
93,3,213,21,84,9,Normal
116,8,344,137,97,19,Normal
111,5,348,45,98,13,Normal
122,6,267,115,101,21,Normal
90,7,185,73,69,21,Normal
99,7,177,61,76,23,Normal
98,8,237,66,74,24,Normal
79,7,182,40,57,22,Normal
79,6,170,44,51,28,Normal
78,5,143,23,58,20,Normal
117,7,256,72,97,20,Normal
120,6,339,98,96,24,Normal
92,5,272,23,74,18,Normal
78,7,192,94,68,10,Normal
76,5,174,49,66,10,Normal
65,6,246,43,57,8,Normal
89,7,212,67,80,9,Normal
85,4,331,29,69,16,Normal
88,5,205,64,79,9,Normal
57,6,117,25,41,16,Normal
91,6,197,29,76,15,Normal
66,7,121,23,58,8,Normal
80,7,181,26,68,12,Normal
95,7,232,41,77,18,Normal
148,7,335,40,116,32,Normal
108,8,197,50,94,13,Normal
113,6,226,52,103,9,Normal
176,6,415,51,160,16,Normal
75,6,122,18,70,5,Normal
90,6,140,20,72,18,Normal
51,6,81,20,45,6,Normal
55,5,90,21,46,9,Normal
78,7,182,33,65,13,Normal
58,8,117,20,45,13,Normal
81,6,183,41,76,5,Normal
84,7,204,28,77,7,Normal
64,6,128,60,58,6,Normal
79,7,230,44,67,12,Normal
87,7,188,28,71,16,Normal
68,6,135,21,56,12,Normal
84,6,136,22,64,20,Normal
62,6,97,26,52,10,Normal
63,6,104,28,60,3,Normal
91,7,144,40,89,2,Normal
133,7,408,44,117,16,Normal
111,6,520,13,92,19,Normal
91,6,253,44,79,12,Normal
93,8,272,30,78,14,Normal
82,4,213,62,68,14,Normal
61,5,105,19,55,6,Normal
70,5,240,27,54,16,Normal
84,7,164,47,74,10,Normal
97,9,178,43,83,14,Normal
58,5,126,22,47,11,Normal
75,6,124,23,53,22,Normal
84,5,194,47,72,12,Normal
137,5,299,45,121,16,Normal
153,8,290,42,138,15,Normal
111,6,181,41,101,10,Normal
160,5,386,38,148,12,Normal
227,6,770,103,212,15,Normal
171,6,572,57,155,16,Normal
163,6,488,56,149,14,Normal
150,6,463,53,130,20,Normal
14,2,21,74,13,1,Normal
101,5,164,20,81,20,Normal
69,6,258,17,57,12,Normal
71,6,228,170,52,19,Normal
101,6,274,86,70,31,Normal
90,7,175,32,63,27,Normal
67,6,200,62,56,11,Normal
67,5,109,24,55,12,Normal
101,7,271,64,79,22,Normal
91,6,243,28,75,16,Normal
64,6,130,25,57,7,Normal
88,6,196,27,77,11,Normal
146,7,345,68,136,10,Normal
114,7,246,34,98,16,Normal
77,6,117,18,63,14,Normal
79,5,156,36,58,21,Normal
46,6,96,21,30,16,Normal
94,5,219,84,79,15,Normal
115,5,344,71,97,18,Normal
89,8,278,41,72,17,Normal
64,7,300,88,48,16,Normal
66,7,249,178,48,18,Normal
82,5,307,78,68,14,Normal
75,6,248,42,55,20,Normal
73,6,220,50,62,11,Normal
85,6,211,40,77,8,Normal
94,5,168,34,87,7,Normal
181,6,438,61,166,15,Normal
226,6,569,52,205,21,Normal
53,5,83,28,42,11,Normal
69,7,118,18,53,16,Normal
78,5,173,37,56,22,Normal
81,5,167,37,63,18,Normal
97,7,267,15,80,17,Normal
38,5,78,32,31,7,Normal
86,6,158,25,59,27,Normal
63,8,165,12,46,17,Normal
56,6,97,65,46,10,Normal
68,7,103,20,51,17,Normal
72,4,188,64,51,21,Normal
122,7,433,28,112,10,Normal
115,8,353,88,104,11,Normal
138,6,694,70,123,15,Normal
130,7,288,75,119,11,Normal
96,6,197,44,90,6,Normal
286,7,2737,32,176,110,Normal
106,7,652,67,74,32,Normal
116,6,314,49,104,12,Normal
76,4,301,48,61,15,Normal
66,5,286,41,57,9,Normal
79,5,167,22,75,4,Normal
186,9,1487,30,132,54,Normal
201,5,2013,41,127,74,Normal
79,7,195,60,74,5,Normal
59,6,146,39,53,6,Normal
84,5,231,71,74,10,Normal
67,4,190,9,56,11,Normal
86,8,220,75,72,14,Normal
65,7,156,47,49,16,Normal
110,7,272,48,98,12,Normal
148,6,435,59,129,19,Normal
59,5,159,8,46,13,Normal
57,6,113,18,49,8,Normal
99,7,228,84,90,9,Normal
124,7,319,29,112,12,Normal
105,6,283,25,82,23,Normal
53,7,114,29,45,8,Normal
67,5,137,14,54,13,Normal
51,4,85,33,47,4,Normal
156,7,332,24,138,18,Normal
80,6,142,24,67,13,Normal
87,5,226,24,71,16,Normal
103,9,406,60,84,19,Normal
85,5,309,44,74,11,Normal
93,6,359,32,75,18,Normal
125,5,514,66,100,25,Normal
96,7,377,119,70,26,Normal
75,6,206,24,63,12,Normal
77,5,265,10,66,11,Normal
154,7,320,15,150,4,Normal
188,6,593,24,175,13,Normal
129,5,761,32,112,17,Normal
117,5,663,125,99,18,Normal
88,6,269,135,64,24,Normal
83,5,211,45,61,22,Normal
74,6,171,51,62,12,Normal
103,3,214,22,89,14,Normal
64,5,107,31,48,16,Normal
73,5,193,26,56,17,Normal
85,7,226,16,67,18,Normal
84,6,142,30,67,17,Normal
64,5,124,15,57,7,Normal
84,5,166,17,72,12,Normal
113,8,275,20,101,12,Normal
114,5,358,17,105,9,Normal
97,6,459,47,82,15,Normal
79,7,148,47,70,9,Normal
85,6,183,68,77,8,Normal
149,6,253,128,125,24,Normal
251,8,661,37,221,30,Normal
80,6,172,24,74,6,Normal
63,7,134,24,52,11,Normal
94,2,195,3,73,21,Normal
148,7,406,66,114,34,Normal
99,6,245,28,82,17,Normal
61,5,132,20,54,7,Normal
72,6,193,76,66,6,Normal
66,6,145,15,57,9,Normal
110,8,255,63,94,16,Normal
98,5,350,19,82,16,Normal
42,7,165,19,40,2,Normal
37,2,55,3,28,9,Normal
47,5,69,22,41,6,Normal
70,6,119,19,63,7,Normal
63,7,104,41,53,10,Normal
66,7,116,13,53,13,Normal
98,10,190,29,86,12,Normal
57,5,103,48,55,2,Normal
75,4,169,15,71,4,Normal
63,7,135,47,56,7,Normal
90,7,270,51,76,14,Normal
120,8,321,45,112,8,Normal
189,10,462,167,176,13,Normal
110,7,318,66,103,7,Normal
97,5,157,24,88,9,Normal
84,6,199,33,71,13,Normal
88,7,241,90,82,6,Normal
117,7,261,87,113,4,Normal
107,7,248,25,93,14,Normal
66,8,155,34,58,8,Normal
93,6,169,14,85,8,Normal
54,6,109,22,50,4,Normal
72,5,190,18,59,13,Normal
54,5,107,20,43,11,Normal
98,5,237,22,91,7,Normal
87,6,186,31,78,9,Normal
86,6,261,31,72,14,Normal
98,7,324,80,82,16,Normal
109,5,238,18,92,17,Normal
67,6,111,28,57,10,Normal
130,5,239,29,112,18,Normal
106,7,217,43,93,13,Normal
97,5,218,58,78,19,Normal
125,7,255,60,106,19,Normal
90,5,181,28,75,15,Normal
115,8,281,56,96,19,Normal
95,11,211,398,85,10,Normal
60,6,298,26,49,11,Normal
106,6,738,36,86,20,Normal
69,3,122,18,59,10,Normal
44,6,92,44,37,7,Normal
60,5,186,41,50,10,Normal
48,5,93,30,39,9,Normal
82,8,278,43,65,17,Normal
91,7,421,25,88,3,Normal
204,4,566,15,191,13,Normal
109,5,166,13,107,2,Normal
36,5,61,7,32,4,Normal
36,2,49,2,28,8,Normal
54,6,91,42,47,7,Normal
48,5,107,10,42,6,Normal
43,7,108,30,36,7,Normal
68,6,432,177,51,17,Normal
70,3,118,7,59,11,Normal
73,6,191,22,71,2,Normal
105,5,258,20,95,10,Normal
115,7,252,34,104,11,Normal
92,6,299,69,83,9,Normal
75,8,224,27,68,7,Normal
58,5,191,63,57,1,Normal
93,7,289,31,85,8,Normal
65,5,161,19,60,5,Normal
62,5,104,26,60,2,Normal
70,7,136,35,64,6,Normal
73,6,127,29,64,9,Normal
85,9,145,21,76,9,Normal
68,5,122,18,61,7,Normal
58,5,83,14,43,15,Normal
76,6,93,16,69,7,Normal
60,5,176,16,50,10,Normal
62,5,153,41,48,14,Normal
66,9,123,27,54,12,Normal
80,7,478,46,68,12,Normal
73,6,128,21,66,7,Normal
64,5,118,12,59,5,Normal
43,7,77,38,40,3,Normal
40,1,81,21,35,5,Normal
58,5,114,20,54,4,Normal
73,5,142,17,69,4,Normal
79,5,218,10,71,8,Normal
81,4,243,15,70,11,Normal
59,5,95,22,52,7,Normal
57,5,88,25,51,6,Normal
128,4,871,17,101,27,Normal
139,6,955,188,124,15,Normal
62,6,126,20,55,7,Normal
82,8,147,22,60,22,Normal
61,6,105,8,55,6,Normal
74,5,109,25,63,11,Normal
52,5,96,11,46,6,Normal
70,5,155,38,61,9,Normal
53,6,146,14,46,7,Normal
49,6,88,39,44,5,Normal
50,6,79,22,44,6,Normal
54,6,98,14,43,11,Normal
59,5,150,20,49,10,Normal
66,7,144,17,51,15,Normal
82,5,144,19,63,19,Normal
63,8,115,18,53,10,Normal
65,4,133,50,52,13,Normal
75,6,179,31,59,16,Normal
56,5,90,56,49,7,Normal
61,5,134,14,54,7,Normal
72,5,195,26,61,11,Normal
50,7,123,29,41,9,Normal
51,4,155,9,48,3,Normal
48,6,100,19,31,17,Normal
38,4,49,8,35,3,Normal
58,5,102,22,55,3,Normal
43,5,85,13,40,3,Normal
55,3,91,22,47,8,Normal
53,4,152,50,42,11,Normal
44,4,136,14,36,8,Normal
47,5,64,23,34,13,Normal
76,5,167,12,63,13,Normal
91,7,339,69,77,14,Normal
62,6,92,56,57,5,Normal
107,7,250,39,94,13,Normal
88,5,209,63,79,9,Normal
102,4,244,37,86,16,Normal
129,5,254,82,105,24,Normal
179,8,403,41,158,21,Normal
178,7,412,84,151,27,Normal
156,7,332,58,143,13,Normal
115,7,235,55,104,11,Normal
34,6,65,60,29,5,Normal
46,7,109,55,39,7,Normal
105,5,232,19,97,8,Normal
60,7,84,26,50,10,Normal
69,4,104,8,63,6,Normal
94,6,168,26,81,13,Normal
92,5,187,16,80,12,Normal
74,5,151,18,58,16,Normal
51,7,137,24,47,4,Normal
83,6,155,28,76,7,Normal
111,5,212,9,98,13,Normal
105,4,232,30,95,10,Normal
56,5,102,18,47,9,Normal
188,6,392,19,174,14,Normal
64,5,110,10,59,5,Normal
80,4,150,14,67,12,Normal
76,4,194,14,62,14,Normal
68,6,141,21,52,16,Normal
72,7,122,13,57,15,Normal
65,7,113,31,54,11,Normal
88,5,180,29,69,19,Normal
58,7,113,205,51,7,Normal
113,8,394,21,101,12,Normal
48,6,84,9,44,4,Normal
66,5,100,12,56,10,Normal
67,6,264,121,53,14,Normal
84,4,332,10,75,9,Normal
70,6,130,21,57,13,Normal
59,4,85,25,48,11,Normal
81,7,244,46,61,20,Normal
83,6,285,81,64,19,Normal
169,7,417,94,151,18,Normal
118,6,294,17,113,5,Normal
50,5,125,45,46,4,Normal
52,4,60,34,48,4,Normal
53,5,162,53,49,4,Normal
63,7,215,39,55,8,Normal
52,5,208,12,36,16,Normal
34,6,69,57,30,4,Normal
45,6,53,16,41,4,Normal
78,6,120,8,73,5,Normal
60,5,126,19,50,10,Normal
56,4,139,7,47,9,Normal
44,6,156,14,37,7,Normal
36,6,66,16,27,9,Normal
34,6,82,17,28,6,Normal
39,3,106,17,30,9,Normal
48,6,100,28,43,5,Normal
42,4,391,24,31,11,Normal
49,4,264,19,41,8,Normal
82,7,821,204,66,16,Normal
65,6,146,189,60,5,Normal
79,6,148,12,71,8,Normal
77,5,153,13,73,4,Normal
73,5,453,17,70,3,Normal
52,4,272,15,44,8,Normal
51,3,273,19,33,18,Normal
47,5,388,134,32,15,Normal
95,3,379,59,85,9,Normal
74,7,257,210,61,8,Normal
71,6,218,33,59,9,Normal
58,6,273,19,48,7,Normal
54,7,239,21,43,11,Normal
59,4,135,20,46,13,Normal
49,4,114,11,38,11,Normal
77,6,200,67,66,11,Normal
292,5,824,23,273,19,Normal
113,3,399,4,82,31,Normal
130,4,479,118,106,24,Normal
140,6,455,241,124,16,Normal
48,7,113,25,45,3,Normal
83,5,172,19,75,8,Normal
107,7,218,39,89,18,Normal
68,5,153,25,56,12,Normal
127,6,260,68,112,15,Normal
128,6,295,42,117,11,Normal
98,6,286,36,87,11,Normal
127,4,411,12,114,13,Normal
55,4,88,42,48,7,Normal
46,4,71,8,43,3,Normal
28,4,35,19,26,2,Normal
84,6,209,80,76,8,Normal
136,5,319,62,122,14,Normal
96,4,566,55,78,18,Normal
50,7,88,40,41,9,Normal
56,3,138,20,41,15,Normal
62,6,201,17,51,11,Normal
49,6,124,36,46,3,Normal
73,4,159,17,69,4,Normal
44,5,68,15,33,11,Normal
67,4,133,11,63,4,Normal
60,5,83,11,58,2,Normal
75,4,147,23,63,12,Normal
62,6,130,21,50,12,Normal
60,7,124,27,47,13,Normal
75,7,109,42,67,8,Normal
266,5,1047,56,254,12,Normal
178,4,732,14,168,10,Normal
129,3,517,162,122,7,Normal
37,5,73,18,31,6,Normal
140,5,315,21,128,12,Normal
236,6,573,15,225,11,Normal
63,5,96,11,51,12,Normal
67,8,93,27,51,16,Normal
72,7,126,32,62,10,Normal
83,8,190,25,77,6,Normal
72,5,145,29,63,9,Normal
317,6,1142,26,305,12,Normal
412,5,1308,11,389,23,Normal
75,8,479,15,62,13,Normal
92,7,151,22,87,5,Normal
73,6,138,30,70,3,Normal
52,5,73,11,42,10,Normal
80,8,137,34,66,14,Normal
80,7,151,46,71,9,Normal
52,6,84,28,47,5,Normal
54,4,77,24,41,13,Normal
68,5,142,44,57,11,Normal
68,5,172,23,59,9,Normal
43,4,110,11,35,8,Normal
62,6,85,13,59,3,Normal
67,4,115,15,65,2,Normal
84,6,135,34,79,5,Normal
79,7,144,15,77,2,Normal
59,3,132,11,48,11,Normal
75,9,157,56,71,4,Normal
1013,8,3523,47,959,54,Normal
306,6,797,54,281,25,Normal
80,5,206,62,63,17,Normal
59,4,101,10,56,3,Normal
73,6,122,45,63,10,Normal
77,7,293,24,65,12,Normal
176,5,468,31,161,15,Normal
119,7,599,290,108,11,Normal
219,4,581,19,209,10,Normal
61,5,124,16,57,4,Normal
60,5,87,22,56,4,Normal
84,6,182,30,70,14,Normal
82,6,328,38,73,9,Normal
89,4,379,12,81,8,Normal
97,6,247,11,90,7,Normal
69,6,107,30,65,4,Normal
110,1,336,1,99,11,Normal
243,6,1022,44,222,21,Normal
107,6,278,51,97,10,Normal
219,8,630,63,204,15,Normal
93,6,193,45,85,8,Normal
91,7,159,64,84,7,Normal
78,7,161,37,73,5,Normal
61,6,102,33,57,4,Normal
136,5,300,35,125,11,Normal
75,5,136,19,70,5,Normal
60,4,95,12,54,6,Normal
59,7,76,31,50,9,Normal
80,8,164,45,74,6,Normal
236,7,1155,27,225,11,Normal
96,7,230,26,84,12,Normal
89,4,227,10,82,7,Normal
149,6,625,32,122,27,Normal
93,5,142,17,72,21,Normal
117,7,265,47,93,24,Normal
69,5,223,52,62,7,Normal
85,6,273,60,77,8,Normal
67,4,195,35,64,3,Normal
78,5,138,60,66,12,Normal
98,8,153,47,82,16,Normal
60,6,155,23,48,12,Normal
89,6,171,21,77,12,Normal
169,7,571,39,150,19,Normal
110,8,328,58,98,12,Normal
102,7,279,28,90,12,Normal
75,6,218,15,57,18,Normal
69,6,185,26,56,13,Normal
116,7,241,50,90,26,Normal
63,6,106,14,46,17,Normal
91,7,248,52,65,26,Normal
109,7,237,29,83,26,Normal
85,7,220,22,76,9,Normal
67,5,129,16,59,8,Normal
58,7,84,19,50,8,Normal
72,6,109,12,55,17,Normal
41,3,56,11,32,9,Normal
44,6,139,31,26,18,Normal
44,5,85,23,35,9,Normal
63,5,101,22,50,13,Normal
52,6,77,15,44,8,Normal
75,5,378,28,58,17,Normal
107,7,173,134,96,11,Normal
105,5,250,32,97,8,Normal
121,6,240,87,115,6,Normal
60,6,153,56,47,13,Normal
87,7,149,58,71,16,Normal
95,7,133,31,81,14,Normal
80,7,140,59,72,8,Normal
63,5,125,13,53,10,Normal
75,7,167,53,65,10,Normal
106,5,216,28,99,7,Normal
134,6,375,36,124,10,Normal
73,7,132,45,67,6,Normal
87,9,154,24,77,10,Normal
73,6,120,23,60,13,Normal
52,6,92,15,43,9,Normal
55,6,92,29,40,15,Normal
62,6,117,15,51,11,Normal
200,7,461,114,183,17,Normal
233,7,560,22,202,31,Normal
73,7,128,30,58,15,Normal
59,3,96,6,48,11,Normal
45,3,70,4,40,5,Normal
40,3,67,5,37,3,Normal
71,8,149,41,64,7,Normal
67,7,157,37,58,9,Normal
73,7,226,17,63,10,Normal
66,5,181,40,65,1,Normal
67,8,171,61,63,4,Normal
45,7,116,44,42,3,Normal
49,4,68,18,45,4,Normal
52,4,243,13,38,14,Normal
93,7,524,82,61,32,Normal
81,6,310,127,64,17,Normal
83,4,383,60,69,14,Normal
95,5,341,52,76,19,Normal
70,7,216,70,65,5,Normal
68,6,484,128,55,13,Normal
82,6,310,196,71,11,Normal
106,5,354,30,92,14,Normal
82,5,289,34,62,20,Normal
69,6,183,104,57,12,Normal
101,6,224,13,85,16,Normal
50,4,162,19,41,9,Normal
78,7,206,40,71,7,Normal
76,5,235,18,60,16,Normal
58,6,214,20,48,10,Normal
99,8,265,69,78,21,Normal
73,6,122,75,58,15,Normal
94,6,182,62,79,15,Normal
98,7,422,46,79,19,Normal
66,6,315,36,59,7,Normal
73,6,260,30,62,11,Normal
101,8,285,76,76,25,Normal
123,7,533,25,84,39,Normal
222,7,545,153,200,22,Normal
193,6,468,22,183,10,Normal
60,5,89,28,50,10,Normal
59,7,101,36,50,9,Normal
82,9,463,63,74,8,Normal
75,5,341,106,66,9,Normal
59,7,212,62,48,11,Normal
78,7,260,35,52,26,Normal
94,4,235,26,70,24,Normal
109,9,227,80,92,17,Normal
131,9,293,24,95,36,Normal
62,5,102,8,44,18,Normal
73,7,95,34,52,21,Normal
70,8,123,36,60,10,Normal
52,5,97,21,44,8,Normal
84,7,190,78,74,10,Normal
81,5,313,55,74,7,Normal
72,5,331,40,60,12,Normal
86,8,384,39,70,16,Normal
49,6,273,123,43,6,Normal
65,5,307,166,50,15,Normal
83,4,241,39,66,17,Normal
109,5,275,26,94,15,Normal
77,6,309,7,65,12,Normal
95,7,307,59,76,19,Normal
77,8,160,58,67,10,Normal
67,3,123,39,58,9,Normal
89,4,227,21,71,18,Normal
98,5,296,33,76,22,Normal
66,6,155,62,54,12,Normal
87,6,164,28,77,10,Normal
72,9,130,55,65,3,Normal
54,5,107,17,49,5,Normal
52,5,85,29,46,6,Normal
65,6,100,44,49,13,Normal
51,5,102,21,43,5,Normal
62,6,126,16,42,17,Normal
269,9,778,37,228,39,Normal
109,5,229,18,91,18,Normal
79,5,124,13,65,14,Normal
51,5,126,53,43,8,Normal
50,7,90,9,47,3,Normal
48,5,96,29,45,3,Normal
174,6,791,15,157,17,Normal
214,8,503,136,188,26,Normal
208,9,613,39,188,20,Normal
60,4,140,28,50,10,Normal
59,5,116,11,41,18,Normal
62,6,115,44,51,11,Normal
73,5,127,25,54,19,Normal
59,5,164,38,56,3,Normal
55,7,139,40,50,5,Normal
110,8,433,50,95,15,Normal
55,6,106,47,50,5,Normal
52,5,90,29,50,2,Normal
70,5,202,46,58,12,Normal
68,6,248,22,58,10,Normal
62,4,171,14,53,9,Normal
97,5,232,17,85,12,Normal
69,6,103,48,60,9,Normal
104,4,259,24,94,10,Normal
83,5,290,50,76,7,Normal
55,5,82,18,46,9,Normal
71,8,151,27,56,15,Normal
103,6,346,27,61,42,Normal
80,4,258,37,59,21,Normal
78,6,132,34,68,10,Normal
110,9,226,40,88,22,Normal
77,6,246,35,53,24,Normal
94,10,223,173,58,36,Normal
375,7,1087,47,334,41,Normal
478,6,1947,28,435,43,Normal
426,5,1307,45,403,23,Normal
102,6,227,94,89,13,Normal
114,6,372,70,87,27,Normal
84,9,216,43,65,19,Normal
41,5,131,28,34,7,Normal
106,4,297,59,90,16,Normal
59,5,304,25,51,8,Normal
101,5,326,149,96,5,Normal
133,3,464,17,108,24,Normal
132,6,414,50,115,17,Normal
29,2,100,17,28,1,Normal
69,7,129,62,59,9,Normal
34,3,66,14,26,8,Normal
74,5,189,24,65,9,Normal
70,4,260,11,66,4,Normal
185,6,603,35,175,10,Normal
74,5,184,26,65,9,Normal
112,5,263,30,107,5,Normal
139,4,338,23,135,4,Normal
387,4,1136,70,371,16,Normal
88,6,282,52,65,23,Normal
74,6,176,78,59,15,Normal
344,8,4125,245,292,52,Normal
98,6,215,19,83,15,Normal
157,6,456,85,128,29,Normal
153,5,484,55,130,23,Normal
85,3,248,24,74,11,Normal
74,4,185,15,71,3,Normal
150,7,525,159,130,20,Normal
168,7,553,130,145,23,Normal
104,8,258,60,97,7,Normal
69,6,243,71,64,5,Normal
83,7,241,34,71,12,Normal
66,4,438,34,57,9,Normal
71,5,160,41,63,8,Normal
68,4,186,27,55,13,Normal
44,5,112,52,41,3,Normal
66,4,207,11,64,2,Normal
58,3,267,7,52,6,Normal
65,4,195,49,63,2,Normal
73,5,201,79,67,6,Normal
54,5,94,22,50,4,Normal
81,5,295,19,78,3,Normal
89,6,414,20,86,3,Normal
141,8,544,145,134,7,Normal
68,7,265,98,62,6,Normal
113,7,705,93,105,8,Normal
80,5,433,28,62,18,Normal
67,5,433,13,57,10,Normal
74,7,364,260,66,8,Normal
92,6,473,54,84,8,Normal
111,9,346,206,88,23,Normal
68,6,147,56,57,11,Normal
63,5,120,49,53,10,Normal
62,5,263,39,51,10,Normal
66,7,162,15,58,8,Normal
68,7,208,39,60,8,Normal
81,4,316,27,77,4,Normal
118,7,371,43,100,18,Normal
169,10,337,65,145,24,Normal
120,6,253,54,102,18,Normal
115,6,217,65,102,13,Normal
91,5,462,22,84,7,Normal
65,6,168,32,59,6,Normal
68,2,281,11,52,16,Normal
63,6,309,32,48,15,Normal
98,7,537,23,88,10,Normal
39,4,63,16,36,3,Normal
91,6,281,18,74,17,Normal
82,5,218,66,74,8,Normal
66,7,167,69,52,14,Normal
74,8,186,31,62,12,Normal
131,5,318,23,118,13,Normal
98,5,254,44,84,14,Normal
97,4,322,17,71,22,Normal
70,7,259,26,49,20,Normal
74,5,191,28,66,8,Normal
48,5,92,30,46,2,Normal
65,6,143,18,53,11,Normal
79,3,167,24,69,9,Normal
122,7,260,28,97,23,Normal
276,7,1003,54,242,33,Normal
143,9,370,287,129,14,Normal
82,9,160,152,71,11,Normal
102,7,261,100,86,16,Normal
111,7,303,61,100,8,Normal
155,5,572,31,149,5,Normal
125,8,241,68,122,3,Normal
79,7,210,66,64,15,Normal
96,6,273,18,83,13,Normal
160,8,626,27,153,7,Normal
146,6,451,25,130,14,Normal
79,7,175,50,68,11,Normal
291,8,807,55,259,32,Normal
219,7,754,122,186,32,Normal
129,7,589,84,114,15,Normal
94,6,274,36,68,26,Normal
108,6,283,61,75,33,Normal
52,7,136,30,39,13,Normal
70,6,364,19,61,9,Normal
91,8,305,34,74,17,Normal
99,5,308,22,69,30,Normal
61,5,128,35,38,23,Normal
113,7,607,54,91,22,Normal
93,7,242,43,72,21,Normal
91,5,258,35,79,10,Normal
74,6,307,85,64,8,Normal
89,8,406,45,80,9,Normal
70,7,200,27,54,16,Normal
90,6,194,129,76,14,Normal
82,7,205,40,66,16,Normal
88,8,320,85,84,4,Normal
58,6,125,26,48,10,Normal
82,6,296,30,58,22,Normal
76,5,171,18,66,10,Normal
124,6,470,35,115,9,Normal
116,6,294,40,108,8,Normal
66,5,127,30,57,9,Normal
112,9,241,43,104,8,Normal
73,4,142,17,61,12,Normal
76,5,117,16,66,10,Normal
78,7,264,41,55,23,Normal
56,5,113,29,37,19,Normal
69,6,197,22,42,27,Normal
126,6,458,20,92,34,Normal
99,6,346,38,78,21,Normal
121,10,400,47,95,26,Normal
117,7,302,34,79,38,Normal
85,6,170,25,53,30,Normal
55,6,137,12,33,22,Normal
77,8,158,62,49,28,Normal
66,6,156,30,51,15,Normal
63,5,242,26,53,10,Normal
64,6,118,19,45,19,Normal
52,6,77,16,43,9,Normal
66,4,169,11,56,10,Normal
173,7,794,48,138,35,Normal
72,7,178,62,66,6,Normal
69,5,178,29,54,15,Normal
64,5,90,54,52,12,Normal
128,9,538,25,117,11,Normal
93,5,190,44,79,14,Normal
161,7,345,47,137,24,Normal
120,5,203,46,109,11,Normal
129,5,451,55,105,24,Normal
130,6,326,39,111,19,Normal
162,6,371,56,145,17,Normal
105,7,253,42,92,13,Normal
122,7,428,25,103,19,Normal
117,5,372,127,103,14,Normal
136,7,276,49,110,26,Normal
115,6,210,43,103,12,Normal
120,6,348,82,104,16,Normal
128,7,390,93,119,9,Normal
104,7,224,37,95,9,Normal
70,5,127,35,62,8,Normal
79,4,271,23,73,6,Normal
104,5,390,24,90,14,Normal
172,9,629,121,152,20,Normal
136,8,503,44,114,22,Normal
103,6,385,221,83,20,Normal
186,7,860,102,164,22,Normal
111,4,227,13,93,18,Normal
85,4,124,28,70,15,Normal
103,7,182,31,89,14,Normal
76,5,166,22,70,6,Normal
80,6,328,21,74,6,Normal
69,6,156,19,58,11,Normal
47,6,89,9,43,4,Normal
58,4,85,14,48,10,Normal
83,5,277,24,72,11,Normal
76,6,255,34,65,11,Normal
97,7,187,34,79,18,Normal
139,5,663,13,115,24,Normal
105,8,540,52,91,14,Normal
125,7,284,53,97,28,Normal
105,5,177,30,90,15,Normal
113,7,204,31,93,20,Normal
167,7,587,19,153,14,Normal
77,5,237,43,65,9,Normal
54,5,80,31,43,11,Normal
81,6,152,23,53,28,Normal
105,4,472,39,87,18,Normal
111,7,226,43,104,7,Normal
130,7,300,24,114,16,Normal
89,8,195,45,67,22,Normal
107,6,329,77,89,18,Normal
